symbol,Z,name,species,charge,molar_mass,uncertainty
Gd,64,Gadolinium,Gd³⁺,3.0,157.25,0.01
Tb,65,Terbium,Tb³⁺,3.0,158.93,0.01
Dy,66,Dysprosium,Dy³⁺,3.0,162.5,0.01
Ho,67,Holmium,Ho³⁺,3.0,164.93,0.01
Er,68,Erbium,Er³⁺,3.0,167.26,0.01
Tm,69,Thulium,Tm³⁺,3.0,168.93,0.01
Yb,70,Ytterbium,Yb³⁺,3.0,173.05,0.02
Lu,71,Lutetium,Lu³⁺,3.0,174.97,0.01
Hf,72,Hafnium,Hf⁴⁺,4.0,178.49,0.01
Ta,73,Tantalum,Ta⁵⁺,5.0,180.95,0.01
W,74,Tungsten,WO₄²⁻ (tungstate),-2.0,183.84,0.01
Re,75,Rhenium,ReO₄⁻ (perrhenate),-1.0,186.21,0.01
Os,76,Osmium,Os⁴⁺,4.0,190.23,0.03
Ir,77,Iridium,Ir³⁺,3.0,192.22,0.01
Pt,78,Platinum,Pt²⁺,2.0,195.08,0.02
Au,79,Gold,Au³⁺,3.0,196.97,0.01
Hg,80,Mercury,Hg²⁺,2.0,200.59,0.01
Tl,81,Thallium,Tl⁺ (also Tl³⁺),1.0,204.38,0.01
Pb,82,Lead,Pb²⁺,2.0,207.2,1.1
Bi,83,Bismuth,Bi³⁺,3.0,208.98,0.01
Po,84,Polonium,,,,
At,85,Astatine,,,,
Rn,86,Radon,,,,
Fr,87,Francium,,,,
Ra,88,Radium,,,,
Ac,89,Actinium,,,,
Th,90,Thorium,Th⁴⁺,4.0,232.04,0.01
Pa,91,Protactinium,Pa⁵⁺,5.0,231.04,0.01
U,92,Uranium,"UO₂²⁺ (uranyl, U(VI))",2.0,238.03,0.01
